"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Avg Std of Start Time","Avg Std of End Time","Avg Std of Duration","Avg Std of Peak Time","Avg Std of Price","Avg Std of Distance","Avg Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"10%","1.5 Hours","Across","6 Weeks","3/8",30,96,25,25,23,0.492,0.51,0.093,0.095,1.443,0.665,0.598,70.8,32
"20%","1.5 Hours","Across","6 Weeks","3/8",34,97,29,28,27,0.507,0.529,0.101,0.099,1.454,0.903,0.649,69.5,34.6
"30%","1.5 Hours","Across","6 Weeks","3/8",36,97,32,29,29,0.516,0.539,0.107,0.102,1.463,1.054,0.678,68.8,35.8
"40%","1.5 Hours","Across","6 Weeks","3/8",37,97,33,30,30,0.522,0.547,0.111,0.104,1.473,1.164,0.698,68.3,36.4
"20%","2.5 Hours","Across","6 Weeks","2/8",49,99,47,43,42,0.8591,0.8797,0.1055,0.1218,1.7635,1.0547,0.6216,71.47,41.66
"50%","1.5 Hours","Across","6 Weeks","3/8",38,97,34,30,30,0.5262,0.5517,0.1148,0.1059,1.4815,1.2558,0.715,67.95,36.84
"10%","2 Hours","Across","6 Weeks","3/8",32,96,27,26,24,0.607,0.622,0.094,0.104,1.633,0.678,0.604,70.7,33.3
"20%","2 Hours","Across","6 Weeks","3/8",36,97,32,30,29,0.63,0.648,0.102,0.109,1.645,0.917,0.655,69.4,36.1
"30%","2 Hours","Across","6 Weeks","3/8",38,97,34,31,31,0.642,0.661,0.108,0.112,1.654,1.071,0.685,68.7,37.4
"40%","2 Hours","Across","6 Weeks","3/8",40,97,36,32,32,0.651,0.67,0.113,0.114,1.663,1.185,0.705,68.2,38.1
"50%","2 Hours","Across","6 Weeks","3/8",40,97,37,33,33,0.656,0.677,0.117,0.116,1.671,1.28,0.723,67.8,38.6
"10%","2.5 Hours","Across","6 Weeks","3/8",33,97,28,28,26,0.707,0.72,0.095,0.112,1.773,0.682,0.607,70.7,34.1
"20%","2.5 Hours","Across","6 Weeks","3/8",38,97,33,31,30,0.737,0.751,0.103,0.117,1.785,0.923,0.659,69.3,37.1
"30%","2.5 Hours","Across","6 Weeks","3/8",40,97,36,33,32,0.752,0.769,0.109,0.12,1.792,1.08,0.689,68.6,38.5
"40%","2.5 Hours","Across","6 Weeks","3/8",41,98,38,34,34,0.763,0.78,0.114,0.122,1.803,1.197,0.71,68.1,39.3
