"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"50%","2 Hours","Within","12 Weeks","2/8",54,90,44,41,40,0.3722,0.3951,0.1136,0.1317,1.9707,1.3286,0.6983,68.58,66.86
"10%","2.5 Hours","Within","12 Weeks","2/8",47,87,37,36,33,0.36,0.3788,0.094,0.1195,1.8456,0.7297,0.5836,71.56,57.54
"20%","2.5 Hours","Within","12 Weeks","2/8",51,88,41,39,37,0.3807,0.4006,0.1022,0.1266,1.9493,0.9845,0.6365,70.11,62.78
"30%","2.5 Hours","Within","12 Weeks","2/8",53,89,43,41,39,0.3908,0.4116,0.1076,0.1307,2.0017,1.1402,0.6675,69.32,65.24
"40%","2.5 Hours","Within","12 Weeks","2/8",54,89,44,41,40,0.3979,0.4193,0.1115,0.1335,2.0374,1.2553,0.6875,68.82,66.66
"10%","2.5 Hours","Across","6 Weeks","2/8",63,99,54,52,49,0.4988,0.517,0.1029,0.1244,1.8439,0.9752,0.6216,72.46,44.53
"50%","2.5 Hours","Within","12 Weeks","2/8",55,90,45,42,40,0.4028,0.4246,0.1144,0.1356,2.0627,1.3377,0.7016,68.5,67.56
"10%","1 Hour","Across","6 Weeks","3/8",52,94,42,41,38,0.2836,0.3059,0.0941,0.0992,1.378,0.8036,0.6058,71.58,36.76
"20%","1 Hour","Across","6 Weeks","3/8",57,95,47,44,42,0.2947,0.3198,0.1032,0.1038,1.4417,1.0621,0.6609,70.08,40.15
"30%","1 Hour","Across","6 Weeks","3/8",59,96,49,46,44,0.2999,0.3271,0.109,0.1065,1.4743,1.2254,0.6924,69.27,41.59
"40%","1 Hour","Across","6 Weeks","3/8",60,96,50,46,45,0.3036,0.332,0.1131,0.1083,1.4979,1.3414,0.7135,68.77,42.35
"50%","1 Hour","Across","6 Weeks","3/8",61,96,51,47,46,0.3063,0.3359,0.1168,0.11,1.52,1.4419,0.7313,68.39,42.86
"10%","1.5 Hours","Across","6 Weeks","3/8",54,95,44,43,40,0.3569,0.3765,0.0963,0.112,1.652,0.8238,0.617,71.3,38.46
"20%","1.5 Hours","Across","6 Weeks","3/8",60,96,49,47,44,0.3749,0.3968,0.106,0.1179,1.7294,1.087,0.6741,69.75,42.19
"30%","1.5 Hours","Across","6 Weeks","3/8",62,96,52,48,46,0.383,0.4065,0.1122,0.121,1.7626,1.2565,0.7072,68.91,43.84
"40%","1.5 Hours","Across","6 Weeks","3/8",63,96,53,49,48,0.3892,0.4136,0.1166,0.1233,1.7846,1.376,0.7295,68.38,44.7
